"weeknum","pref","new","N501Y inspected","N501Y positives","days"
1,北海道,601,388,280,"4/12-4/18"
1,青森県,142,68,0,"4/12-4/18"
1,岩手県,27,22,0,4/12-4/18
1,宮城県,416,193,11,4/12-4/18
1,秋田県,36,32,15,4/12-4/18
1,山形県,134,86,2,4/12-4/18
1,福島県,179,65,5,4/12-4/18
1,茨城県,320,167,63,4/12-4/18
1,栃木県,141,73,12,4/12-4/18
1,群馬県,220,67,22,4/12-4/18
1,埼玉県,1121,444,153,4/12-4/18
1,千葉県,862,238,70,4/12-4/18
1,東京都,4105,1255,493,4/12-4/18
1,神奈川県,1331,288,85,4/12-4/18
1,新潟県,211,149,11,4/12-4/18
1,富山県,102,71,46,4/12-4/18
1,石川県,134,27,22,4/12-4/18
1,福井県,72,34,33,4/12-4/18
1,山梨県,43,28,7,4/12-4/18
1,長野県,305,112,21,4/12-4/18
1,岐阜県,214,55,26,4/12-4/18
1,静岡県,191,82,30,4/12-4/18
1,愛知県,1385,352,209,4/12-4/18
1,三重県,181,103,92,4/12-4/18
1,滋賀県,242,64,41,4/12-4/18
1,京都府,643,178,139,4/12-4/18
1,大阪府,7630,2048,1597,4/12-4/18
1,兵庫県,3007,833,712,4/12-4/18
1,奈良県,542,61,58,4/12-4/18
1,和歌山県,229,144,79,4/12-4/18
1,鳥取県,40,37,32,4/12-4/18
1,島根県,6,5,4,4/12-4/18
1,岡山県,271,36,29,4/12-4/18
1,広島県,149,66,45,4/12-4/18
1,山口県,92,46,27,4/12-4/18
1,徳島県,210,49,45,4/12-4/18
1,香川県,76,71,58,4/12-4/18
1,愛媛県,245,131,121,4/12-4/18
1,高知県,17,6,3,4/12-4/18
1,福岡県,631,185,107,4/12-4/18
1,佐賀県,72,50,16,4/12-4/18
1,長崎県,109,63,27,4/12-4/18
1,熊本県,87,56,37,4/12-4/18
1,大分県,34,21,10,4/12-4/18
1,宮崎県,42,53,13,4/12-4/18
1,鹿児島県,46,23,7,4/12-4/18
1,沖縄県,795,161,42,4/12-4/18
1,全国,27688,8786,4957,4/12-4/18
2,北海道,889,670,505,4/19-4/25
2,青森県,177,23,1,4/19-4/25
2,岩手県,69,14,1,4/19-4/25
2,宮城県,320,117,12,4/19-4/25
2,秋田県,47,43,6,4/19-4/25
2,山形県,110,75,4,4/19-4/25
2,福島県,213,81,39,4/19-4/25
2,茨城県,455,217,75,4/19-4/25
2,栃木県,159,81,29,4/19-4/25
2,群馬県,243,104,43,4/19-4/25
2,埼玉県,1432,676,348,4/19-4/25
2,千葉県,897,322,126,4/19-4/25
2,東京都,5090,2073,1163,4/19-4/25
2,神奈川県,1532,443,190,4/19-4/25
2,新潟県,238,153,44,4/19-4/25
2,富山県,110,122,69,4/19-4/25
2,石川県,185,120,97,4/19-4/25
2,福井県,120,96,90,4/19-4/25
2,山梨県,68,38,30,4/19-4/25
2,長野県,230,197,93,4/19-4/25
2,岐阜県,277,36,20,4/19-4/25
2,静岡県,163,101,53,4/19-4/25
2,愛知県,1768,709,489,4/19-4/25
2,三重県,352,114,108,4/19-4/25
2,滋賀県,317,89,69,4/19-4/25
2,京都府,960,422,344,4/19-4/25
2,大阪府,7590,2845,2326,4/19-4/25
2,兵庫県,3472,1204,1030,4/19-4/25
2,奈良県,687,223,182,4/19-4/25
2,和歌山県,255,272,158,4/19-4/25
2,鳥取県,18,18,17,4/19-4/25
2,島根県,35,29,29,4/19-4/25
2,岡山県,387,111,99,4/19-4/25
2,広島県,266,191,137,4/19-4/25
2,山口県,166,143,103,4/19-4/25
2,徳島県,256,82,75,4/19-4/25
2,香川県,93,78,72,4/19-4/25
2,愛媛県,237,110,103,4/19-4/25
2,高知県,27,23,20,4/19-4/25
2,福岡県,1390,536,410,4/19-4/25
2,佐賀県,187,30,28,4/19-4/25
2,長崎県,178,129,100,4/19-4/25
2,熊本県,278,125,102,4/19-4/25
2,大分県,263,67,60,4/19-4/25
2,宮崎県,88,115,40,4/19-4/25
2,鹿児島県,60,55,26,4/19-4/25
2,沖縄県,630,209,87,4/19-4/25
2,全国,32984,13731,9252,4/19-4/25
3,北海道,1406,914,714,4/26-5/2
3,青森県,138,34,2,4/26-5/2
3,岩手県,122,24,0,4/26-5/2
3,宮城県,217,67,23,4/26-5/2
3,秋田県,78,71,8,4/26-5/2
3,山形県,89,61,30,4/26-5/2
3,福島県,266,71,19,4/26-5/2
3,茨城県,384,241,90,4/26-5/2
3,栃木県,176,125,47,4/26-5/2
3,群馬県,451,140,41,4/26-5/2
3,埼玉県,1444,629,377,4/26-5/2
3,千葉県,984,330,189,4/26-5/2
3,東京都,5832,2166,1380,4/26-5/2
3,神奈川県,1646,409,215,4/26-5/2
3,新潟県,161,136,44,4/26-5/2
3,富山県,96,112,61,4/26-5/2
3,石川県,194,32,29,4/26-5/2
3,福井県,49,68,66,4/26-5/2
3,山梨県,101,68,54,4/26-5/2
3,長野県,184,152,79,4/26-5/2
3,岐阜県,397,74,63,4/26-5/2
3,静岡県,228,121,87,4/26-5/2
3,愛知県,2233,870,672,4/26-5/2
3,三重県,337,221,177,4/26-5/2
3,滋賀県,297,124,101,4/26-5/2
3,京都府,955,597,465,4/26-5/2
3,大阪府,7948,2751,2292,4/26-5/2
3,兵庫県,3304,1208,1063,4/26-5/2
3,奈良県,592,300,260,4/26-5/2
3,和歌山県,188,148,107,4/26-5/2
3,鳥取県,15,13,10,4/26-5/2
3,島根県,24,24,24,4/26-5/2
3,岡山県,535,266,231,4/26-5/2
3,広島県,466,275,232,4/26-5/2
3,山口県,171,144,126,4/26-5/2
3,徳島県,180,83,74,4/26-5/2
3,香川県,157,123,111,4/26-5/2
3,愛媛県,189,142,104,4/26-5/2
3,高知県,78,2,1,4/26-5/2
3,福岡県,1923,750,628,4/26-5/2
3,佐賀県,80,122,104,4/26-5/2
3,長崎県,194,44,39,4/26-5/2
3,熊本県,360,76,62,4/26-5/2
3,大分県,309,0,0,4/26-5/2
3,宮崎県,135,134,115,4/26-5/2
3,鹿児島県,201,53,25,4/26-5/2
3,沖縄県,490,236,139,4/26-5/2
3,全国,36004,14751,10780,4/26-5/2
4,北海道,2005,851,747,5/3-5/9
4,青森県,161,32,2,5/3-5/9
4,岩手県,121,10,0,5/3-5/9
4,宮城県,221,42,20,5/3-5/9
4,秋田県,104,81,30,5/3-5/9
4,山形県,69,49,29,5/3-5/9
4,福島県,396,88,53,5/3-5/9
4,茨城県,296,127,49,5/3-5/9
4,栃木県,199,126,63,5/3-5/9
4,群馬県,530,211,98,5/3-5/9
4,埼玉県,1529,700,499,5/3-5/9
4,千葉県,917,372,269,5/3-5/9
4,東京都,5589,2614,1922,5/3-5/9
4,神奈川県,1683,430,286,5/3-5/9
4,新潟県,231,151,101,5/3-5/9
4,富山県,58,53,40,5/3-5/9
4,石川県,306,129,98,5/3-5/9
4,福井県,56,45,42,5/3-5/9
4,山梨県,75,44,34,5/3-5/9
4,長野県,195,110,64,5/3-5/9
4,岐阜県,603,42,37,5/3-5/9
4,静岡県,289,112,93,5/3-5/9
4,愛知県,2528,913,770,5/3-5/9
4,三重県,283,175,153,5/3-5/9
4,滋賀県,345,106,95,5/3-5/9
4,京都府,882,449,380,5/3-5/9
4,大阪府,6046,2086,1880,5/3-5/9
4,兵庫県,2721,1043,936,5/3-5/9
4,奈良県,554,115,105,5/3-5/9
4,和歌山県,138,159,96,5/3-5/9
4,鳥取県,27,13,11,5/3-5/9
4,島根県,25,14,12,5/3-5/9
4,岡山県,851,190,154,5/3-5/9
4,広島県,788,161,142,5/3-5/9
4,山口県,174,119,109,5/3-5/9
4,徳島県,140,63,60,5/3-5/9
4,香川県,255,112,105,5/3-5/9
4,愛媛県,120,77,45,5/3-5/9
4,高知県,55,102,94,5/3-5/9
4,福岡県,2640,564,498,5/3-5/9
4,佐賀県,294,66,57,5/3-5/9
4,長崎県,338,83,74,5/3-5/9
4,熊本県,461,139,128,5/3-5/9
4,大分県,441,16,16,5/3-5/9
4,宮崎県,284,88,74,5/3-5/9
4,鹿児島県,333,75,41,5/3-5/9
4,沖縄県,470,131,79,5/3-5/9
4,全国,36826,13478,10690,5/3-5/9