年,月,日,day,I:PCR検査陽性者,R:退院した者,R:死亡者,dR,γ=R/I
2020,2,6,0,16,4,0,4,0.25
2020,2,7,1,16,4,0,4,0.25
2020,2,10,2,16,9,0,9,0.5625
2020,2,12,3,16,10,0,10,0.625
2020,2,13,4,17,11,0,11,0.647058824
2020,2,14,5,21,11,1,12,0.571428571
2020,2,17,6,46,12,1,13,0.282608696
2020,2,18,7,53,12,1,13,0.245283019
2020,2,19,8,60,14,1,15,0.25
2020,2,20,9,70,16,1,17,0.242857143
2020,2,21,10,79,16,1,17,0.215189873
2020,2,22,11,90,17,1,18,0.2
2020,2,23,12,114,17,1,18,0.157894737
2020,2,24,13,126,17,1,18,0.142857143
2020,2,25,14,140,18,1,19,0.135714286
2020,2,26,15,149,23,1,24,0.161073826
2020,2,27,16,171,30,3,33,0.192982456
2020,2,28,17,195,30,4,34,0.174358974
2020,2,29,18,215,31,5,36,0.16744186
2020,3,1,19,224,31,5,36,0.160714286
2020,3,2,20,239,32,6,38,0.158995816
2020,3,3,21,253,35,6,41,0.162055336
2020,3,4,22,269,37,6,43,0.159851301
2020,3,5,23,302,38,6,44,0.145695364
2020,3,6,24,333,56,6,62,0.186186186
2020,3,7,25,392,63,6,69,0.176020408
2020,3,8,26,439,67,6,73,0.166287016
2020,3,9,27,472,88,7,95,0.201271186
2020,3,10,28,498,89,9,98,0.196787149
2020,3,11,29,552,103,12,115,0.208333333
2020,3,12,30,604,108,15,123,0.203642384
2020,3,13,31,659,120,19,139,0.210925645
2020,3,14,32,699,129,21,150,0.214592275
2020,3,15,33,762,142,22,164,0.215223097
2020,3,16,34,794,149,24,173,0.217884131
2020,3,17,35,809,156,28,184,0.227441286
2020,3,18,36,853,176,29,205,0.240328253
2020,3,19,37,892,200,31,231,0.25896861
2020,3,20,38,928,212,33,245,0.264008621
2020,3,21,39,981,217,35,252,0.256880734
2020,3,22,40,1015,257,36,293,0.288669951
2020,3,23,41,1057,270,41,311,0.29422895
2020,3,24,42,1095,285,42,327,0.298630137
2020,3,25,43,1160,294,43,337,0.290517241
2020,3,26,44,1253,343,45,388,0.309656824
2020,3,27,45,1349,356,46,402,0.297998517
2020,3,28,46,1453,388,49,437,0.300757054
2020,3,29,47,1647,408,52,460,0.279295689
2020,3,30,48,1820,408,54,462,0.253846154
2020,3,31,49,1887,408,56,464,0.245892952
2020,4,1,50,2107,456,57,513,0.243474134
2020,4,2,51,2306,489,60,549,0.238074588
2020,4,3,52,2541,498,63,561,0.220779221
2020,4,4,53,2845,559,69,628,0.220738137
2020,4,5,54,3191,568,70,638,0.199937324
2020,4,6,55,3569,575,73,648,0.181563463
2020,4,7,56,3817,605,80,685,0.179460309
2020,4,8,57,4168,615,81,696,0.166986564
2020,4,9,58,4667,668,85,753,0.161345618
2020,4,10,59,5246,697,88,785,0.149637819
2020,4,11,60,5902,745,94,839,0.142155202
,,,,,,,,0.168726614
,,,,,,,,0.240491601